date,hour,energy_system,price_max,price_min
2019-12-01,0,ОЕС України,1102.99,815.25
2019-12-01,1,Бурштинський острів,1102.9765,671.377
2019-12-01,1,ОЕС України,652.2915,397.047
2019-12-01,2,Бурштинський острів,1102.9765,671.377
2019-12-01,2,ОЕС України,652.2915,397.047
2019-12-01,3,Бурштинський острів,1102.9765,671.377
2019-12-01,3,ОЕС України,652.2915,397.047
2019-12-01,4,Бурштинський острів,1102.9765,671.377
2019-12-01,4,ОЕС України,652.2915,397.047
2019-12-01,5,Бурштинський острів,1102.9765,671.377
2019-12-01,5,ОЕС України,652.2915,397.047
2019-12-01,6,Бурштинський острів,1102.9765,671.377
2019-12-01,6,ОЕС України,652.2915,397.047
2019-12-01,7,Бурштинський острів,1102.9765,671.377
2019-12-01,7,ОЕС України,652.2915,397.047
2019-12-01,8,Бурштинський острів,1961.9,1194.2
2019-12-01,8,ОЕС України,918.85,559.3
2019-12-01,9,Бурштинський острів,1961.9,1194.2
2019-12-01,9,ОЕС України,918.85,559.3
2019-12-01,10,Бурштинський острів,1961.9,1194.2
2019-12-01,10,ОЕС України,977.5,595
2019-12-01,11,Бурштинський острів,1961.9,1194.2
2019-12-01,11,ОЕС України,918.85,559.3
2019-12-01,12,Бурштинський острів,1961.9,1194.2
2019-12-01,12,ОЕС України,918.85,559.3
2019-12-01,13,Бурштинський острів,1961.9,1194.2
2019-12-01,13,ОЕС України,918.85,559.3
2019-12-01,14,Бурштинський острів,1961.9,1194.2
2019-12-01,14,ОЕС України,918.85,559.3
2019-12-01,15,Бурштинський острів,1961.9,1194.2
2019-12-01,15,ОЕС України,1033.85,629.3
2019-12-01,16,Бурштинський острів,1961.9,1194.2
2019-12-01,16,ОЕС України,1378.85,839.3
2019-12-01,17,Бурштинський острів,2208,1344
2019-12-01,17,ОЕС України,1493.85,909.3
2019-12-01,18,Бурштинський острів,2208,1344
2019-12-01,18,ОЕС України,1493.85,909.3
2019-12-01,19,Бурштинський острів,2208,1344
2019-12-01,19,ОЕС України,1493.85,909.3
2019-12-01,20,Бурштинський острів,2208,1344
2019-12-01,20,ОЕС України,1493.85,909.3
2019-12-01,21,Бурштинський острів,2208,1344
2019-12-01,21,ОЕС України,1493.85,909.3
2019-12-01,22,Бурштинський острів,1955,1190
2019-12-01,22,ОЕС України,1148.85,699.3
2019-12-01,23,Бурштинський острів,1102.9765,671.377
2019-12-01,23,ОЕС України,652.2915,397.047
2019-12-01,24,Бурштинський острів,1102.9765,671.377
2019-12-01,24,ОЕС України,652.2915,397.047
2019-12-02,0,Бурштинський острів,1102.9765,671.377
2019-12-02,0,ОЕС України,652.2915,397.047
2019-12-02,1,Бурштинський острів,1102.9765,671.377
2019-12-02,1,ОЕС України,652.2915,397.047
2019-12-02,2,Бурштинський острів,1102.9765,671.377
2019-12-02,2,ОЕС України,652.2915,397.047
2019-12-02,3,Бурштинський острів,1102.9765,671.377
2019-12-02,3,ОЕС України,652.2915,397.047
2019-12-02,4,Бурштинський острів,1102.9765,671.377
2019-12-02,4,ОЕС України,652.2915,397.047
2019-12-02,5,Бурштинський острів,1102.9765,671.377
2019-12-02,5,ОЕС України,652.2915,397.047
2019-12-02,6,Бурштинський острів,1102.9765,671.377
2019-12-02,6,ОЕС України,652.2915,397.047
2019-12-02,7,Бурштинський острів,1102.9765,671.377
2019-12-02,7,ОЕС України,1102.988,671.384
2019-12-02,8,Бурштинський острів,2208,1344
2019-12-02,8,ОЕС України,1782.5,1085
2019-12-02,9,Бурштинський острів,2208,1344
2019-12-02,9,ОЕС України,1868.75,1137.5
2019-12-02,10,Бурштинський острів,2208,1344
2019-12-02,10,ОЕС України,1841.15,1120.7
2019-12-02,11,Бурштинський острів,2208,1344
2019-12-02,11,ОЕС України,1725,1050
2019-12-02,12,Бурштинський острів,2208,1344
2019-12-02,12,ОЕС України,1610,980
2019-12-02,13,Бурштинський острів,2208,1344
2019-12-02,13,ОЕС України,1840,1120
2019-12-02,14,Бурштинський острів,2208,1344
2019-12-02,14,ОЕС України,1840,1120
2019-12-02,15,Бурштинський острів,2208,1344
2019-12-02,15,ОЕС України,1811.25,1102.5
2019-12-02,16,Бурштинський острів,2208,1344
2019-12-02,16,ОЕС України,1782.5,1085
2019-12-02,17,Бурштинський острів,2208,1344
2019-12-02,17,ОЕС України,1811.25,1102.5
2019-12-02,18,Бурштинський острів,2208,1344
2019-12-02,18,ОЕС України,1725,1050
2019-12-02,19,Бурштинський острів,2208,1344
2019-12-02,19,ОЕС України,1495.759,910.462
2019-12-02,20,Бурштинський острів,2208,1344
2019-12-02,20,ОЕС України,1437.5,875
2019-12-02,21,Бурштинський острів,2208,1344
2019-12-02,21,ОЕС України,1452.45,884.1
2019-12-02,22,Бурштинський острів,1897.5,1155
2019-12-02,22,ОЕС України,918.85,559.3
2019-12-02,23,Бурштинський острів,1102.9765,671.377
2019-12-02,23,ОЕС України,652.2915,397.047
2019-12-02,24,Бурштинський острів,1102.9765,671.377
2019-12-02,24,ОЕС України,652.2915,397.047
2019-12-03,0,Бурштинський острів,1102.9765,671.377
2019-12-03,0,ОЕС України,652.2915,397.047
2019-12-03,1,Бурштинський острів,1102.9765,671.377
2019-12-03,1,ОЕС України,652.2915,397.047
2019-12-03,2,Бурштинський острів,1102.9765,671.377
2019-12-03,2,ОЕС України,652.2915,397.047
2019-12-03,3,Бурштинський острів,1102.9765,671.377
2019-12-03,3,ОЕС України,652.2915,397.047
2019-12-03,4,Бурштинський острів,1102.9765,671.377
2019-12-03,4,ОЕС України,652.2915,397.047
2019-12-03,5,Бурштинський острів,1102.9765,671.377
2019-12-03,5,ОЕС України,652.2915,397.047
2019-12-03,6,Бурштинський острів,1102.9765,671.377
2019-12-03,6,ОЕС України,652.2915,397.047
2019-12-03,7,Бурштинський острів,1102.9765,671.377
2019-12-03,7,ОЕС України,655.569,399.042
2019-12-03,8,Бурштинський острів,2190.359,1333.262
2019-12-03,8,ОЕС України,1437.5,875
2019-12-03,9,Бурштинський острів,2190.359,1333.262
2019-12-03,9,ОЕС України,1577.294,960.092
2019-12-03,10,Бурштинський острів,2190.359,1333.262
2019-12-03,10,ОЕС України,1452.45,884.1
2019-12-03,11,Бурштинський острів,2190.359,1333.262
2019-12-03,11,ОЕС України,1298.35,790.3
2019-12-03,12,Бурштинський острів,2190.359,1333.262
2019-12-03,12,ОЕС України,1148.85,699.3
2019-12-03,13,Бурштинський острів,1827.35,1112.3
2019-12-03,13,ОЕС України,1389.775,845.95
2019-12-03,14,Бурштинський острів,1829.65,1113.7
2019-12-03,14,ОЕС України,1513.055,920.99
2019-12-03,15,Бурштинський острів,2190.359,1333.262
2019-12-03,15,ОЕС України,1402.425,853.65
2019-12-03,16,Бурштинський острів,2190.359,1333.262
2019-12-03,16,ОЕС України,1436.35,874.3
2019-12-03,17,Бурштинський острів,2190.359,1333.262
2019-12-03,17,ОЕС України,1559.8255,949.459
2019-12-03,18,Бурштинський острів,2190.359,1333.262
2019-12-03,18,ОЕС України,1436.35,874.3
2019-12-03,19,Бурштинський острів,2190.359,1333.262
2019-12-03,19,ОЕС України,1385.175,843.15
2019-12-03,20,Бурштинський острів,2190.359,1333.262
2019-12-03,20,ОЕС України,1493.85,909.3
2019-12-03,21,Бурштинський острів,2190.359,1333.262
2019-12-03,21,ОЕС України,1585.85,965.3
2019-12-03,22,Бурштинський острів,1725,1050
2019-12-03,22,ОЕС України,1436.35,874.3
2019-12-03,23,Бурштинський острів,1102.9765,671.377
2019-12-03,23,ОЕС України,652.2915,397.047
2019-12-03,24,Бурштинський острів,1102.9765,671.377
2019-12-03,24,ОЕС України,652.2915,397.047
2019-12-04,0,Бурштинський острів,1102.9765,671.377
2019-12-04,0,ОЕС України,652.2915,397.047
2019-12-04,1,Бурштинський острів,1102.9765,671.377
2019-12-04,1,ОЕС України,652.2915,397.047
2019-12-04,2,Бурштинський острів,1102.9765,671.377
2019-12-04,2,ОЕС України,652.2915,397.047
2019-12-04,3,Бурштинський острів,1102.9765,671.377
2019-12-04,3,ОЕС України,652.2915,397.047
2019-12-04,4,Бурштинський острів,1102.9765,671.377
2019-12-04,4,ОЕС України,652.2915,397.047
2019-12-04,5,Бурштинський острів,1102.9765,671.377
2019-12-04,5,ОЕС України,652.2915,397.047
2019-12-04,6,Бурштинський острів,1102.9765,671.377
2019-12-04,6,ОЕС України,652.2915,397.047
