date,hour,border,currency,price,cap_offered_mw,cap_allocated_mw
2024-01-01,1,MD-UA,EUR,1.5478,70,70
2024-01-01,2,MD-UA,EUR,1.5478,70,70
2024-01-01,3,MD-UA,EUR,1.5478,70,70
2024-01-01,4,MD-UA,EUR,1.5478,70,70
2024-01-01,5,MD-UA,EUR,1.5478,70,70
2024-01-01,6,MD-UA,EUR,1.5478,70,70
2024-01-01,7,MD-UA,EUR,1.5478,70,70
2024-01-01,8,MD-UA,EUR,1.9049,70,70
2024-01-01,9,MD-UA,EUR,1.9049,70,70
2024-01-01,10,MD-UA,EUR,1.9049,70,70
2024-01-01,11,MD-UA,EUR,1.9049,70,70
2024-01-01,12,MD-UA,EUR,1.9049,70,70
2024-01-01,13,MD-UA,EUR,1.1906,100,100
2024-01-01,14,MD-UA,EUR,1.5478,100,100
2024-01-01,15,MD-UA,EUR,1.5478,100,100
2024-01-01,16,MD-UA,EUR,1.5478,100,100
2024-01-01,17,MD-UA,EUR,1.1906,100,100
2024-01-01,18,MD-UA,EUR,0.9525,100,100
2024-01-01,19,MD-UA,EUR,0.2381,100,100
2024-01-01,20,MD-UA,EUR,0.0238,100,100
2024-01-01,21,MD-UA,EUR,0.0238,100,100
2024-01-01,22,MD-UA,EUR,0.0238,70,70
2024-01-01,23,MD-UA,EUR,0.0238,70,70
2024-01-01,24,MD-UA,EUR,7e-4,70,70
2024-01-01,1,PL-UA,EUR,0,0,0
2024-01-01,2,PL-UA,EUR,0,0,0
2024-01-01,3,PL-UA,EUR,0,0,0
2024-01-01,4,PL-UA,EUR,0,0,0
2024-01-01,5,PL-UA,EUR,0,0,0
2024-01-01,6,PL-UA,EUR,0,0,0
2024-01-01,7,PL-UA,EUR,0,0,0
2024-01-01,8,PL-UA,EUR,0,0,0
2024-01-01,9,PL-UA,EUR,0,0,0
2024-01-01,10,PL-UA,EUR,0,0,0
2024-01-01,11,PL-UA,EUR,0,0,0
2024-01-01,12,PL-UA,EUR,0,0,0
2024-01-01,13,PL-UA,EUR,0,100,100
2024-01-01,14,PL-UA,EUR,0,200,200
2024-01-01,15,PL-UA,EUR,0,270,270
2024-01-01,16,PL-UA,EUR,0,270,270
2024-01-01,17,PL-UA,EUR,0,270,270
2024-01-01,18,PL-UA,EUR,0,270,270
2024-01-01,19,PL-UA,EUR,0,270,270
2024-01-01,20,PL-UA,EUR,0,200,200
2024-01-01,21,PL-UA,EUR,0,150,150
2024-01-01,22,PL-UA,EUR,0,0,0
2024-01-01,23,PL-UA,EUR,0,0,0
2024-01-01,24,PL-UA,EUR,0,0,0
2024-01-01,1,RO-UA,EUR,0,0,0
2024-01-01,2,RO-UA,EUR,0,0,0
2024-01-01,3,RO-UA,EUR,0,0,0
2024-01-01,4,RO-UA,EUR,0,0,0
2024-01-01,5,RO-UA,EUR,0,0,0
2024-01-01,6,RO-UA,EUR,0,0,0
2024-01-01,7,RO-UA,EUR,0,0,0
2024-01-01,8,RO-UA,EUR,0,0,0
2024-01-01,9,RO-UA,EUR,0,0,0
2024-01-01,10,RO-UA,EUR,0,0,0
2024-01-01,11,RO-UA,EUR,0,0,0
2024-01-01,12,RO-UA,EUR,0,0,0
2024-01-01,13,RO-UA,EUR,11.52,100,100
2024-01-01,14,RO-UA,EUR,8.85,200,200
2024-01-01,15,RO-UA,EUR,5.1,270,270
2024-01-01,16,RO-UA,EUR,5.1,270,270
2024-01-01,17,RO-UA,EUR,2,270,270
2024-01-01,18,RO-UA,EUR,2,270,270
2024-01-01,19,RO-UA,EUR,3.1,270,270
2024-01-01,20,RO-UA,EUR,5.34,200,200
2024-01-01,21,RO-UA,EUR,0.44,150,150
2024-01-01,22,RO-UA,EUR,0,0,0
2024-01-01,23,RO-UA,EUR,0,0,0
2024-01-01,24,RO-UA,EUR,0,0,0
2024-01-01,1,UA-MD,EUR,0,0,0
2024-01-01,2,UA-MD,EUR,0,0,0
2024-01-01,3,UA-MD,EUR,0,0,0
2024-01-01,4,UA-MD,EUR,0,0,0
2024-01-01,5,UA-MD,EUR,0,0,0
2024-01-01,6,UA-MD,EUR,0,0,0
2024-01-01,7,UA-MD,EUR,0,0,0
2024-01-01,8,UA-MD,EUR,0,0,0
2024-01-01,9,UA-MD,EUR,0,0,0
2024-01-01,10,UA-MD,EUR,0,0,0
2024-01-01,11,UA-MD,EUR,0,0,0
2024-01-01,12,UA-MD,EUR,0,0,0
2024-01-01,13,UA-MD,EUR,0,0,0
2024-01-01,14,UA-MD,EUR,0,0,0
2024-01-01,15,UA-MD,EUR,0,0,0
2024-01-01,16,UA-MD,EUR,0,0,0
2024-01-01,17,UA-MD,EUR,0,0,0
2024-01-01,18,UA-MD,EUR,0,0,0
2024-01-01,19,UA-MD,EUR,0,0,0
2024-01-01,20,UA-MD,EUR,0,0,0
2024-01-01,21,UA-MD,EUR,0,0,0
2024-01-01,22,UA-MD,EUR,0,0,0
2024-01-01,23,UA-MD,EUR,0,0,0
2024-01-01,24,UA-MD,EUR,0,0,0
2024-01-01,1,UA-PL,EUR,0,0,0
2024-01-01,2,UA-PL,EUR,0,0,0
2024-01-01,3,UA-PL,EUR,0,0,0
2024-01-01,4,UA-PL,EUR,0,0,0
2024-01-01,5,UA-PL,EUR,0,0,0
2024-01-01,6,UA-PL,EUR,0,0,0
2024-01-01,7,UA-PL,EUR,0,0,0
2024-01-01,8,UA-PL,EUR,0,0,0
2024-01-01,9,UA-PL,EUR,0,0,0
2024-01-01,10,UA-PL,EUR,0,0,0
2024-01-01,11,UA-PL,EUR,0,0,0
2024-01-01,12,UA-PL,EUR,0,0,0
2024-01-01,13,UA-PL,EUR,0,0,0
2024-01-01,14,UA-PL,EUR,0,0,0
2024-01-01,15,UA-PL,EUR,0,0,0
2024-01-01,16,UA-PL,EUR,0,0,0
2024-01-01,17,UA-PL,EUR,0,0,0
2024-01-01,18,UA-PL,EUR,0,0,0
2024-01-01,19,UA-PL,EUR,0,0,0
2024-01-01,20,UA-PL,EUR,0,0,0
2024-01-01,21,UA-PL,EUR,0,0,0
2024-01-01,22,UA-PL,EUR,0,0,0
2024-01-01,23,UA-PL,EUR,0,0,0
2024-01-01,24,UA-PL,EUR,0,0,0
2024-01-01,1,UA-RO,EUR,0,133,0
2024-01-01,2,UA-RO,EUR,0,133,0
2024-01-01,3,UA-RO,EUR,0,133,0
2024-01-01,4,UA-RO,EUR,0,133,0
2024-01-01,5,UA-RO,EUR,0,133,0
2024-01-01,6,UA-RO,EUR,0,133,0
2024-01-01,7,UA-RO,EUR,0,133,0
2024-01-01,8,UA-RO,EUR,0,0,0
2024-01-01,9,UA-RO,EUR,0,0,0
2024-01-01,10,UA-RO,EUR,0,0,0
2024-01-01,11,UA-RO,EUR,0,0,0
2024-01-01,12,UA-RO,EUR,0,0,0
2024-01-01,13,UA-RO,EUR,0,0,0
2024-01-01,14,UA-RO,EUR,0,0,0
2024-01-01,15,UA-RO,EUR,0,0,0
2024-01-01,16,UA-RO,EUR,0,0,0
2024-01-01,17,UA-RO,EUR,0,0,0
2024-01-01,18,UA-RO,EUR,0,0,0
2024-01-01,19,UA-RO,EUR,0,0,0
2024-01-01,20,UA-RO,EUR,0,0,0
2024-01-01,21,UA-RO,EUR,0,0,0
2024-01-01,22,UA-RO,EUR,0,0,0
2024-01-01,23,UA-RO,EUR,0,100,0
2024-01-01,24,UA-RO,EUR,0,100,0
2024-01-02,1,MD-UA,EUR,0,70,40
2024-01-02,2,MD-UA,EUR,0,70,40
2024-01-02,3,MD-UA,EUR,0,70,40
2024-01-02,4,MD-UA,EUR,0,70,40
2024-01-02,5,MD-UA,EUR,0,70,40
2024-01-02,6,MD-UA,EUR,0,100,40
2024-01-02,7,MD-UA,EUR,0,100,40
2024-01-02,8,MD-UA,EUR,0,100,40
2024-01-02,9,MD-UA,EUR,0,100,40
2024-01-02,10,MD-UA,EUR,0,100,40
2024-01-02,11,MD-UA,EUR,0,100,40
2024-01-02,12,MD-UA,EUR,0,100,40
2024-01-02,13,MD-UA,EUR,0,100,40
2024-01-02,14,MD-UA,EUR,0,150,40
2024-01-02,15,MD-UA,EUR,0,150,40
2024-01-02,16,MD-UA,EUR,0,150,40
2024-01-02,17,MD-UA,EUR,0,150,40
2024-01-02,18,MD-UA,EUR,0,150,40
2024-01-02,19,MD-UA,EUR,0,150,40
2024-01-02,20,MD-UA,EUR,0,100,40
2024-01-02,21,MD-UA,EUR,0,100,40
2024-01-02,22,MD-UA,EUR,0,70,40
2024-01-02,23,MD-UA,EUR,0,70,40
2024-01-02,24,MD-UA,EUR,0,70,40
2024-01-02,1,PL-UA,EUR,0,0,0
2024-01-02,2,PL-UA,EUR,0,0,0
2024-01-02,3,PL-UA,EUR,0,0,0
2024-01-02,4,PL-UA,EUR,0,0,0
2024-01-02,5,PL-UA,EUR,0,0,0
2024-01-02,6,PL-UA,EUR,0,0,0
2024-01-02,7,PL-UA,EUR,0,0,0
2024-01-02,8,PL-UA,EUR,0,0,0
2024-01-02,9,PL-UA,EUR,0,0,0
2024-01-02,10,PL-UA,EUR,0,0,0
2024-01-02,11,PL-UA,EUR,0,0,0
2024-01-02,12,PL-UA,EUR,0,0,0
2024-01-02,13,PL-UA,EUR,0,0,0
2024-01-02,14,PL-UA,EUR,0,0,0
2024-01-02,15,PL-UA,EUR,0,0,0
2024-01-02,16,PL-UA,EUR,0,0,0
2024-01-02,17,PL-UA,EUR,0,0,0
2024-01-02,18,PL-UA,EUR,0,0,0
2024-01-02,19,PL-UA,EUR,0,0,0
2024-01-02,20,PL-UA,EUR,0,0,0
2024-01-02,21,PL-UA,EUR,0,0,0
2024-01-02,22,PL-UA,EUR,0,0,0
2024-01-02,23,PL-UA,EUR,0,0,0
