date,gts_tariff_entry_domestic_uah_tcm,gts_tariff_exit_domestic_uah_tcm,cb_tariff_entry_usd_tcm,cb_tariff_entry_eur_tcm,dso_tariff_wavg_tcm
01/01/2020,102,124.16,4.45,,960
01/02/2020,102,124.16,4.45,,960
01/03/2020,102,124.16,4.45,,960
01/04/2020,102,124.16,4.45,,960
01/05/2020,102,124.16,4.45,,960
01/06/2020,102,124.16,4.45,,960
01/07/2020,102,124.16,4.45,,1300
01/08/2020,102,124.16,4.45,,1300
01/09/2020,102,124.16,4.45,,1300
01/10/2020,102,124.16,4.45,,1300
01/11/2020,102,124.16,4.45,,1300
01/12/2020,102,124.16,4.45,,1300
01/01/2021,102,124.16,4.45,,1170
01/02/2021,102,124.16,4.45,,1170
01/03/2021,102,124.16,4.45,,1170
01/04/2021,102,124.16,4.45,,1170
01/05/2021,102,124.16,4.45,,1170
01/06/2021,102,124.16,4.45,,1170
01/07/2021,102,124.16,4.45,,1170
01/08/2021,102,124.16,4.45,,1170
01/09/2021,102,124.16,4.45,,1170
01/10/2021,102,124.16,4.45,,1170
01/11/2021,102,124.16,4.45,,1170
01/12/2021,102,124.16,4.45,,1170
01/01/2022,102,124.16,4.45,,1170
01/02/2022,102,124.16,4.45,,1170
01/03/2022,102,124.16,4.45,,1170
01/04/2022,102,124.16,4.45,,1170
01/05/2022,102,124.16,4.45,,1170
01/06/2022,102,124.16,4.45,,1170
01/07/2022,102,124.16,4.45,,1170
01/08/2022,102,124.16,4.45,,1170
01/09/2022,102,124.16,4.45,,1170
01/10/2022,102,124.16,4.45,,1170
01/11/2022,102,124.16,4.45,,1170
01/12/2022,102,124.16,4.45,,1170
01/01/2023,102,124.16,4.45,,1170
01/02/2023,102,124.16,4.45,,1170
01/03/2023,102,124.16,4.45,,1170
01/04/2023,102,124.16,4.45,,1170
01/05/2023,102,124.16,4.45,,1170
01/06/2023,102,124.16,4.45,,1170
01/07/2023,102,124.16,4.45,,1170
01/08/2023,102,124.16,4.45,,1170
01/09/2023,102,124.16,4.45,,1170
01/10/2023,102,124.16,4.45,,1170
01/11/2023,102,124.16,4.45,,1170
01/12/2023,102,124.16,4.45,,1170
01/01/2024,102,124.16,4.45,,1170
01/02/2024,102,124.16,4.45,,1170
01/03/2024,102,124.16,4.45,,1170
01/04/2024,102,124.16,4.45,,1170
01/05/2024,102,124.16,4.45,,1170
01/06/2024,102,124.16,4.45,,1170
01/07/2024,102,124.16,4.45,,1170
01/08/2024,102,124.16,4.45,,1170
01/09/2024,102,124.16,4.45,,1170
01/10/2024,102,124.16,4.45,,1170
01/11/2024,102,124.16,4.45,,1170
01/12/2024,102,124.16,4.45,,1170
01/01/2025,464.37,501.97,,10.3,1170
01/02/2025,464.37,501.97,,10.3,1170
01/03/2025,464.37,501.97,,10.3,1170
01/04/2025,464.37,501.97,,10.3,1170
01/05/2025,464.37,501.97,,10.3,1170
01/06/2025,464.37,501.97,,10.3,1170
01/07/2025,464.37,501.97,,10.3,1170
01/08/2025,464.37,501.97,,10.3,1170
01/09/2025,464.37,501.97,,10.3,1170
01/10/2025,464.37,501.97,,10.3,1170
01/11/2025,464.37,501.97,,10.3,1170
01/12/2025,464.37,501.97,,10.3,1170
01/01/2026,464.37,501.97,,10.3,1560
01/02/2026,464.37,501.97,,10.3,1560
01/03/2026,464.37,501.97,,10.3,1560
